"Date","Price","Open","High","Low","Change %"
"Oct 10, 2012","5.7377","5.7265","5.7560","5.7152","0.13"
"Oct 09, 2012","5.7305","5.7118","5.7474","5.6986","0.28"
"Oct 08, 2012","5.7143","5.6648","5.7219","5.6648","0.62"
"Oct 05, 2012","5.6793","5.6916","5.7141","5.6507","-0.29"
"Oct 04, 2012","5.6959","5.7562","5.7605","5.6772","-1.09"
"Oct 03, 2012","5.7588","5.7043","5.7666","5.6918","0.91"
"Oct 02, 2012","5.7071","5.7285","5.7320","5.6646","-0.36"
"Oct 01, 2012","5.7278","5.7126","5.7483","5.6990","0.13"
"Sep 28, 2012","5.7205","5.7082","5.7411","5.6704","0.18"
"Sep 27, 2012","5.7102","5.7474","5.7619","5.6962","-0.71"
"Sep 26, 2012","5.7510","5.7300","5.7770","5.7114","0.27"
"Sep 25, 2012","5.7354","5.7427","5.7630","5.6924","-0.17"
"Sep 24, 2012","5.7449","5.7222","5.7720","5.7204","0.09"
"Sep 21, 2012","5.7397","5.7364","5.7476","5.6882","0.03"
"Sep 20, 2012","5.7379","5.6996","5.7567","5.6868","0.62"
"Sep 19, 2012","5.7026","5.7055","5.7227","5.6821","-0.11"
"Sep 18, 2012","5.7088","5.6988","5.7285","5.6917","0.15"
"Sep 17, 2012","5.7003","5.6672","5.7163","5.6650","0.28"
"Sep 14, 2012","5.6846","5.7159","5.7180","5.6395","-0.59"
"Sep 13, 2012","5.7183","5.7365","5.7924","5.6996","-0.33"
"Sep 12, 2012","5.7373","5.7658","5.7839","5.7250","-0.53"
"Sep 11, 2012","5.7678","5.7904","5.7996","5.7439","-0.43"
"Sep 10, 2012","5.7929","5.7231","5.7946","5.7128","1.27"
"Sep 07, 2012","5.7203","5.8462","5.8560","5.7142","-2.18"
"Sep 06, 2012","5.8477","5.8285","5.8612","5.8062","0.30"
"Sep 05, 2012","5.8302","5.7994","5.8435","5.7899","0.50"
"Sep 04, 2012","5.8013","5.8090","5.8161","5.7711","-0.17"
"Sep 03, 2012","5.8111","5.7861","5.8174","5.7760","0.22"
"Aug 31, 2012","5.7981","5.8143","5.8230","5.7621","-0.34"
"Aug 30, 2012","5.8181","5.8175","5.8320","5.7944","-0.05"
"Aug 29, 2012","5.8210","5.8277","5.8624","5.8028","-0.16"
"Aug 28, 2012","5.8302","5.8307","5.8469","5.7869","-0.14"
"Aug 27, 2012","5.8382","5.8262","5.8440","5.7960","0.14"
"Aug 24, 2012","5.8303","5.8272","5.8540","5.8058","0.02"
"Aug 23, 2012","5.8293","5.8561","5.8645","5.8145","-0.54"
"Aug 22, 2012","5.8607","5.8763","5.9175","5.8424","-0.35"
"Aug 21, 2012","5.8810","5.9168","5.9260","5.8600","-0.67"
"Aug 20, 2012","5.9208","5.9003","5.9506","5.9003","0.10"
"Aug 17, 2012","5.9150","5.9415","5.9632","5.9087","-0.53"
"Aug 16, 2012","5.9467","5.9433","5.9756","5.9247","-0.01"
"Aug 15, 2012","5.9471","5.9369","5.9702","5.9196","0.14"
"Aug 14, 2012","5.9386","5.9400","5.9501","5.8914","-0.06"
"Aug 13, 2012","5.9420","5.9201","5.9430","5.9034","0.45"
"Aug 10, 2012","5.9153","5.9139","5.9513","5.8981","-0.03"
"Aug 09, 2012","5.9168","5.8768","5.9367","5.8532","0.64"
"Aug 08, 2012","5.8793","5.9171","5.9493","5.8589","-0.72"
"Aug 07, 2012","5.9220","5.9569","5.9692","5.8942","-0.64"
"Aug 06, 2012","5.9601","5.9808","5.9957","5.9387","-0.33"
"Aug 03, 2012","5.9800","6.0428","6.0569","5.9620","-1.13"
"Aug 02, 2012","6.0485","6.0426","6.0724","5.9732","0.07"
"Aug 01, 2012","6.0442","6.0257","6.0508","5.9915","0.17"
"Jul 31, 2012","6.0337","6.0391","6.0543","6.0061","-0.12"
"Jul 30, 2012","6.0408","6.0201","6.0906","6.0139","-0.09"
"Jul 27, 2012","6.0464","6.0156","6.0861","5.9944","0.45"
"Jul 26, 2012","6.0195","6.0687","6.0854","5.9826","-0.90"
"Jul 25, 2012","6.0739","6.1150","6.1208","6.0568","-0.69"
"Jul 24, 2012","6.1164","6.0749","6.1243","6.0668","0.56"
"Jul 23, 2012","6.0822","6.0623","6.1230","6.0528","0.31"
"Jul 20, 2012","6.0633","6.0561","6.0989","6.0416","0.11"
"Jul 19, 2012","6.0569","6.0949","6.1075","6.0423","-0.64"
"Jul 18, 2012","6.0961","6.0699","6.1241","6.0531","0.39"
"Jul 17, 2012","6.0727","6.0861","6.1295","6.0610","-0.23"
"Jul 16, 2012","6.0870","6.0840","6.1241","6.0664","-0.21"
"Jul 13, 2012","6.0996","6.1030","6.1283","6.0819","-0.13"
"Jul 12, 2012","6.1078","6.1107","6.1416","6.0849","-0.07"
"Jul 11, 2012","6.1119","6.1003","6.1206","6.0755","0.17"
"Jul 10, 2012","6.1014","6.0659","6.1158","6.0580","0.42"
"Jul 09, 2012","6.0760","6.1195","6.1299","6.0629","-0.66"
"Jul 06, 2012","6.1163","6.0486","6.1347","6.0369","1.08"
"Jul 05, 2012","6.0510","5.9848","6.0537","5.9785","1.02"
"Jul 04, 2012","5.9900","5.9594","6.0082","5.9556","0.44"
"Jul 03, 2012","5.9635","5.9693","5.9926","5.9470","-0.09"
"Jul 02, 2012","5.9687","5.9450","5.9895","5.9396","0.18"
"Jun 29, 2012","5.9581","6.0580","6.0710","5.9279","-1.64"
"Jun 28, 2012","6.0574","6.0339","6.0906","6.0116","0.35"
"Jun 27, 2012","6.0365","6.0107","6.0527","5.9965","0.39"
"Jun 26, 2012","6.0130","6.0004","6.0392","5.9839","0.18"
"Jun 25, 2012","6.0024","5.9640","6.0233","5.9583","0.69"
"Jun 22, 2012","5.9613","5.9670","5.9811","5.9381","-0.18"
"Jun 21, 2012","5.9719","5.8966","5.9761","5.8913","1.25"
"Jun 20, 2012","5.8980","5.9405","5.9540","5.8770","-0.79"
"Jun 19, 2012","5.9447","5.9829","5.9869","5.9072","-0.66"
"Jun 18, 2012","5.9841","5.9255","6.0023","5.9110","0.71"
